Q85	Cairo
Q1515	Abidjan
Q644	Sharm el-Sheikh
Q3940	Victoria
Q7903	Casablanca
Q8673	Lagos
Q3935	Windhoek
Q5468	Durban
Q5832	Axum
Q3909	Maseru
Q3932	São Tomé
Q4301	Arusha
Q3929	Port Louis
Q3921	Harare
Q16869	Constantinople
Q23725	Byzantium
Q18780	Likasi
Q24149	Arabsiyo
Q9427	Timbuktu
Q3761	Accra
Q3751	Praia
Q3799	Porto-Novo
Q3825	Libreville
Q3838	Kinshasa
Q3881	Lusaka
Q3780	Freetown
Q3604	Djibouti
Q3889	Maputo
Q3832	Bangui
Q3561	Algiers
Q3748	Monrovia
Q3688	Nouakchott
Q1963	Khartoum
Q3551	Rabat
Q3901	Moroni
Q3642	Asmara
Q3579	Tripoli
Q3897	Luanda
Q3818	Malabo
Q3876	Lilongwe
Q3894	Kampala
Q1947	Juba
Q1960	Dar es Salaam
Q3726	Banjul
Q3674	Niamey
Q3787	Abuja
Q3703	Bamako
Q3844	Brazzaville
Q3808	Yaoundé
Q3659	N'Djamena
Q3739	Bissau
Q3733	Conakry
Q3854	Bujumbura
Q3792	Lomé
Q30970	Jamestown
Q34647	Johannesburg
Q29962	Asyut
Q35784	Al Bayda
Q36219	Brega
Q29888	Aswan
Q31350	Shibin Al Kawm, Al Minufiyah
Q101625	Marrakesh
Q80985	Fez
Q81788	Giza
Q72571	Shoshong
Q101418	Lobamba
Q105344	Etoumbi
Q63233	Nasser
Q110218	Mwanza
Q126308	El Bayyada
Q131818	Oran
Q126148	Tangier
Q131323	Misrata
Q125434	Port Elizabeth
Q134086	Al Jawf
Q130514	Luxor
Q115323	Sumbawanga
Q132409	Nalut
Q109949	Matola
Q123160	Nanyuki
Q130238	Cap Malheureux
Q427646	Marj
Q137721	Naucratis
Q170313	Mbombela
Q170525	Agadir
Q170715	Kasane
Q170711	Palapye
Q170725	Molepolole
Q170714	Ramotswa
Q170755	Mathangwane
Q170730	Kanye
Q171101	Lecheng
Q170663	Shakawe
Q170732	Maun
Q170698	Tutume
Q170724	Mahalapye
Q178663	Meknes
Q170816	Maitengwe
Q170642	Hukuntsi
Q170668	Gumare
Q170660	Moshupa
Q170717	Mogoditshane
Q175596	Ayoun el Atrous
Q170872	Good Hope, Botswana
Q171032	Mabeleapudi
Q178067	Toamasina
Q170727	Tshabong
Q38870	Kopong
Q42678	Makeni
Q38855	Gabane
