Q1478665	Kenya Wildlife Service
Q7193999	Kenya Commercial Bank
Q493271	East African Breweries
Q1525124	Kenya Electricity Generating Company
Q6960733	Nakumatt
Q6970049	Nation Media Group
Q7398410	Safaricom
Q7876767	Uchumi Supermarkets
Q1529217	One Acre Fund
Q4966238	Bridge International Academies
Q6392687	Kenya Power and Lighting Company
Q7453121	Serena Hotels
Q28134152	SportPesa
Q5384670	Equity Bank Group
Q3327765	Mumias Sugar
Q3928251	Rea Vipingo
Q4853463	Bamburi Cement
Q6392680	Kenya Pipeline Company
Q7409244	Sameer Group
Q17074730	Kenya Post Office Savings Bank
Q18379605	National Social Security Fund
Q19953806	M-KOPA
Q20077599	Juhudi Kilimo
Q4813644	Athi River Mining
Q18164704	East African Portland Cement Company
Q1129814	Cooper Motor Corporation
Q3431904	Rift Valley Railways Consortium
Q4672405	AccessKenya Group
Q5063061	Centum Investment Company Limited
Q5433052	Family Bank
Q5452774	First Community Bank
Q6301873	Jubilee Insurance
Q6322748	K-Rep Bank
Q6392602	Kenya Medical Supplies Agency
Q6954287	NIC Bank
Q6954288	NIC Bank Group
Q6970904	National Bank of Kenya
Q6973411	National Hospital Insurance Fund
Q7088944	Olympia Capital Holdings
Q7102327	Oriental Commercial Bank
Q7135378	Paramount Universal Bank
Q7243236	Prime Bank
Q7425152	Sasini Tea & Coffee
Q7429996	Scangroup
Q7598198	Standard Chartered Kenya
Q7697349	Telkom Kenya
Q7833682	Trans National Bank Kenya
Q7884434	Unga Group
Q7926657	Victoria Commercial Bank
Q8034267	WordAlive Publishers
Q17110502	Kakuzi Limited
Q17110895	TransCentury Investments
Q17510165	Faulu Microfinance Bank Limited
Q18355193	Tuskys
Q18355359	Finserve Africa Limited
Q18358469	BitPesa
Q18377996	Well Told Story
Q18378521	Mwalimu Cooperative Savings & Credit Society Limited
Q18394932	Ukwala Supermarkets
Q19903363	Jubilee Holdings Limited
Q19903371	Kenya Wine Agencies Limited
Q21178609	Kenya Women Microfinance Bank
Q24236326	Kenya Electricity Transmission Company
Q24236402	Akiira Geothermal Limited
Q28223296	United Bank for Africa
Q28223354	Liberty Life Assurance Kenya Limited
Q5252942	Del Monte Kenya
Q19903179	Bidco Africa
Q5070972	Chandarana Records
Q17064706	Limuru Tea Company Limited
Q18351104	Imarisha Cooperative Savings & Credit Society Limited
Q19903384	Kwale International Sugar Company Limited
Q23022476	Kisii Sugar Factory
Q6392571	Kenya Fluorspar Company
Q19903187	Brookside Dairy Limited
Q55613979	HotelOnline
Q5965483	I&M Bank Group
Q5965490	I&M Bank Limited
Q5152463	Commercial Bank of Africa
Q5152466	Commercial Bank of Africa Group
Q5384664	Equity Bank Kenya
Q4696802	Aiducation
Q5037824	Carbacid Investments
Q5087097	Chase Bank Kenya Limited
Q5154705	Community Cooker Foundation
Q5163264	Consolidated Bank of Kenya
Q5167875	Cooperative Bank of Kenya
Q5183711	Credit Bank
Q5310507	Dubai Bank Kenya
Q5384250	Equatorial Commercial Bank
Q5416938	Eveready East Africa
Q5446773	FidelityBank
Q5449332	Fina Bank
Q5449334	Fina Bank Group
Q5555211	Ghafla!
Q5564742	Giro Commercial Bank
Q5614046	Guardian Bank
Q5617377	Gulf African Bank
Q5916122	Housing Finance Company of Kenya
Q6006371	Imperial Bank Limited
Q6027691	Industrial Promotion Services
Q6147708	Jamii Bora Bank
Q30261744	Cosmos Limited
Q30261798	ETC East Africa (Kenya)
Q30261838	Health Strat (Kenya)
Q30261899	mHealth (Kenya)
Q30261900	Kenya Seed Company (Kenya)
Q76615484	Qbroka
Q96191591	Tevalu
Q62084015	Kyoto Energy
Q1324434	Nasr
Q1992164	Nilesat
Q921716	Global Telecom Holding
Q266341	Orange Egypt
Q959814	Suez Canal Company
Q420774	Manufacturing Commercial Vehicles
Q517139	General Motors Egypt
Q1299177	Egyptian General Petroleum Corporation
Q1779592	El Salam Maritime Transport
Q4119563	National Bank of Egypt
Q623639	Arab American Vehicles
Q1540525	Vodafone Egypt
Q2060638	Banque Misr
Q2583152	Egypt Post
Q1299145	Egy-Tech Engineering
