Q44461	Richard Dawkins
Q46795	Wangari Muta Maathai
Q173563	Jomo Kenyatta
Q57291	Mwai Kibaki
Q319591	Chris Froome
Q196070	Uhuru Kenyatta
Q302910	Ngugi wa Thiong’o
Q193492	Daniel arap Moi
Q14837	Louis Leakey
Q9124	Eliud Kipchoge
Q459897	Victor Wanyama
Q1659	David Rudisha
Q28947	Kip Keino
Q122823	Stella Mwangi
Q318960	Richard Leakey
Q1677	Ezekiel Kemboi
Q57657	Raila Odinga
Q15516	Samuel Wanjiru
Q309956	Wilson Kipketer
Q9107	Asbel Kiprop
Q313893	McDonald Mariga
Q9140	Brimin Kipruto
Q5998	Vivian Cheruiyot
Q324647	Edi Gathegi
Q312654	Bernard Lagat
Q1704	Abel Kirui
Q21067115	Michael Olunga
Q313799	Paul Tergat
Q230950	Catherine Ndereba
Q9096	Wilfred Bungei
Q240212	Philippa Gregory
Q9104	Alfred Kirwa Yego
Q63223	Dennis Kipruto Kimetto
Q180629	Edna Kiplagat
Q334017	Patrick Makau Musyoki
Q1705	Wilson Kipsang Kiprotich
Q270684	Pamela Jelimo
Q3077472	Julius Yego
Q334050	Noah Ngeny
Q649593	Barack Obama Sr.
Q241062	Tegla Loroupe
Q354321	Saif Saaeed Shaheen
Q510629	Jemima Sumgong
Q361596	Moses Kiptanui
Q259348	Gurinder Chadha
Q18384904	Nicholas Bett
Q52129159	Brigid Kosgei
Q6270	Priscah Jeptoo
Q133451	Conseslus Kipruto
Q239164	Linet Masai
Q435758	Naftali Temu
Q438827	Hellen Obiri
Q16209255	Ruth Jebet
Q436759	Roger Whittaker
Q10278224	Eunice Kirwa
Q364094	Paul Ereng
Q3064656	Faith Kipyegon
Q361673	John Ngugi
Q233714	Nancy Langat
Q239970	Janeth Jepkosgei
Q394925	Paddy Lowe
Q464746	Deep Roy
Q472513	Dennis Oliech
Q366215	Daniel Komen
Q1772030	Rose Chelimo
Q9126	Edwin Soi
Q438721	Yusuf Saad Kamel
Q553199	Matthew Birir
Q451902	Amos Biwott
Q471050	Paul Tanui
Q353791	Peter Rono
Q472480	Benjamin Limo
Q733765	Reuben Kosgei
Q375583	Luke Kibet
Q451919	William Tanui
Q470615	Joseph Keter
Q271166	Mary Jepkosgei Keitany
Q235801	Eunice Jepkorir
Q446221	Julius Kariuki
Q24301090	Beatrice Chepkoech
Q461554	Moses Tanui
Q4830013	Awer Mabil
Q470625	John Njue
Q9138	Micah Kogo
Q137518	Yobes Ondieki
Q20890550	Elijah Manangoi
Q539638	Julius Korir
Q864094	Binyavanga Wainaina
Q1503019	Geoffrey Kipsang Kamworor
Q189453	Zena Marshall
Q513288	Geoffrey Mutai
Q992521	Charles Asati
Q117239	Milcah Chemos Cheywa
Q2910104	Boniface Mucheru Tumuti
Q459879	Richard Chelimo
Q704592	Charles Kamathi
Q1712939	Julius Sang
Q705811	Douglas Wakiihuri
Q20890567	Timothy Cheruiyot
Q24265525	Yasemin Can
Q6008	Sally Kipyego
Q155341	Richard Limo
Q265297	Priscah Jepleting Cherono
Q379097	Mubarak Hassan Shami
Q459245	Sharon Cherop
Q538561	Wilson Boit Kipketer
Q722620	Ismael Kirui
Q733223	Paul Kipsiele Koech
Q930985	Paul Bitok
Q1662	Timothy Kitum
Q9146	Richard Mateelong
Q273392	Joyce Chepchumba
Q614578	Ben Jipcho
Q421531	Polat Kemboi Arıkan
Q592201	Emmanuel Kipchirchir Mutai
Q944823	Paul Kipkoech
Q5409760	Eunice Jepkoech Sum
Q733180	Tom Mboya
Q25714608	Paul Kipkemoi Chelimo
Q15051577	Ali Kaya
Q17497106	Margaret Wambui
Q51885429	Ruth Chepngetich
Q166404	Sharon Laws
Q14918460	Ferguson Cheruiyot Rotich
Q1635090	Robert Wangila
Q976700	Vincent Kipruto
Q458928	Caleb Mwangangi Ndiku
Q725666	Moses Mosop
